category,mean,median,min,max,std
sleeveless,1987.5428571428572,2084.0,1252.0,2724.0,449.06136665316484
tshirts,4935.121951219512,4992.0,2842.0,7078.0,978.3598568615455
opened-shirts,4757.810344827586,4709.0,2761.0,7067.0,998.9680184880546
